repo	before_main	before_drop_next	contained	residue_matches	after_main	result
router	0af3624a079196844269a4c36686773fb355608c	7323fa7e8138f4d73a7e70456aeb2c6f60dc84eb	yes	70	7323fa7e8138f4d73a7e70456aeb2c6f60dc84eb	landed
signal-agent	1e507476ccc5001f068827fb8d0770deb6c81a67	cedc8f69fb83b6983f96ec3a43e224d974bb5831	yes	8	cedc8f69fb83b6983f96ec3a43e224d974bb5831	landed
signal-cloud	3482cbeb7c0c374a5f6f76c1f8d0dfab42fe5384	559e918b829c3f0da1419f945f62ca8dc5259e81	yes	8	559e918b829c3f0da1419f945f62ca8dc5259e81	landed
signal-domain-criome	44af33cfa823f7686825f0dd9a31788e5026f6b6	e50b807f272fa11ce2d66f857e1bed44c8a125cd	yes	8	e50b807f272fa11ce2d66f857e1bed44c8a125cd	landed
signal-harness	9f989d249586a2c199fc0aaa9afd70ac539859e2	4d9f5879ead06ccbf9221b0f5bef5c055b9acd9f	yes	9	4d9f5879ead06ccbf9221b0f5bef5c055b9acd9f	landed
signal-introspect	ad64de9643b35acd9883e749625595811cc92658	afe4d50adb6c9750293aa08e609b4ecf8b71ac10	yes	12	afe4d50adb6c9750293aa08e609b4ecf8b71ac10	landed
signal-listener	9fce56075ed93381bfe897444f6207c9dd3f73ab	703a03b22e3f463c883b19fb1988ff09580207c9	yes	8	703a03b22e3f463c883b19fb1988ff09580207c9	landed
signal-lojix	fbb28cf4775340d71886af866b4a403622ff6cef	ee7abf4bb7d75bccf3aecf614025b9f0f3a0ae3d	yes	8	ee7abf4bb7d75bccf3aecf614025b9f0f3a0ae3d	landed
signal-mentci	b8865518c939110ca631bc33bb9c122f7c79a64b	6d1fd4d2a5a89eaa0f3f3b7bf57473f016b737e9	yes	10	6d1fd4d2a5a89eaa0f3f3b7bf57473f016b737e9	landed
signal-mentci-client	568289f1dc2ee538f786949ffc92e1d8832477b3	f14c8b8eb2eefdc7c33b881f164d30351857eecb	yes	16	f14c8b8eb2eefdc7c33b881f164d30351857eecb	landed
signal-message	e872ad66deb8235acb1d5b437b3a40f908e6fd87	0bd080fcd739bde92dbb76b83a6084541a31675a	yes	8	0bd080fcd739bde92dbb76b83a6084541a31675a	landed
signal-mind	16a70dfd7f696b3e51080dbc2d086726fdaa8c75	458ad2dca2dbca8679f7d88c12f2673e462fc118	yes	9	458ad2dca2dbca8679f7d88c12f2673e462fc118	landed
signal-mirror	34248d09b17ddd4b4e89b57c7731c50c095be324	0a8ab9afe57dc6ce55524e4da7b6b8ff1f59c9e9	yes	8	0a8ab9afe57dc6ce55524e4da7b6b8ff1f59c9e9	landed
signal-orchestrate	76a663a2e166955b8ef695833740e3237b00dd83	ab12e8ad1b183863c36e3402c69c8f109a93b2c4	yes	11	ab12e8ad1b183863c36e3402c69c8f109a93b2c4	landed
signal-persona	8b2ac102bc8aebe00220c1ba7896456f1ef2e1e6	9de82cd3a11270dd3c38ed507553c78ea703b25f	yes	8	9de82cd3a11270dd3c38ed507553c78ea703b25f	landed
signal-repository-ledger	14f08be87806706f2eacba6938fd4f6a96efb008	2bc09662a0c62d98f92e5a8898e058c805c64834	yes	3	2bc09662a0c62d98f92e5a8898e058c805c64834	landed
signal-router	81c39d8515ab8beabba633dca4c2afab1832df95	04d3288364970b697d7bdedbe7a6f47634fb5520	yes	8	04d3288364970b697d7bdedbe7a6f47634fb5520	landed
signal-spirit	ef116222b1f16b42f506783aa1bf95b447bcf682	e7d77c205cc5c053b8d268b10aa4c3f44f7ec639	no	unknown	ef116222b1f16b42f506783aa1bf95b447bcf682	blocked-not-contained
